table_name,field_name,field_type,nullable,primary_key,default_value,comment,category
production_process_exception,work_order_no,VARCHAR(50),YES,NO,,工单编号,业务表
production_process_exception,exception_type,VARCHAR(50),YES,NO,,异常类型,业务表
production_process_exception,device_id,INTEGER,YES,NO,,设备ID,业务表
production_process_exception,device_code,VARCHAR(50),YES,NO,,设备编码,业务表
production_process_exception,device_name,VARCHAR(100),YES,NO,,设备名称,业务表
production_process_exception,stop_type,VARCHAR(100),YES,NO,,停机类型,业务表
production_process_exception,confirm_user,VARCHAR(50),YES,NO,,确认人,业务表
production_process_exception,confirm_user_name,VARCHAR(50),YES,NO,,确认人姓名,业务表
production_process_exception,start_time,DATETIME,YES,NO,,开始时间,业务表
production_process_exception,end_time,DATETIME,YES,NO,,恢复时间,业务表
production_process_exception,duration,DECIMAL(10,2),YES,NO,0,持续时长(小时),业务表
production_process_exception,description,VARCHAR(500),YES,NO,,异常描述,业务表
production_process_exception,exception_images,TEXT,YES,NO,,异常图片(JSON),业务表
production_process_exception,record_user,VARCHAR(50),YES,NO,,记录人,业务表
production_process_exception,record_user_name,VARCHAR(50),YES,NO,,记录人姓名,业务表
production_process_exception,created_at,DATETIME,YES,NO,,创建时间,业务表
production_report_exception_image,image_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_report_exception_image,report_id,INTEGER,NO,NO,,报工单ID,业务表
production_report_exception_image,image_url,VARCHAR(500),NO,NO,,图片路径,业务表
production_report_exception_image,created_at,DATETIME,YES,NO,,创建时间,业务表
