主分类代码,分类名称,料号,品名,规格,单位名称,菲林编号,开料尺寸,印刷工艺,分色信息,落料直径,材料厚度,材料宽度,材料高度,边角料重量,库存单位重量,库存单位体积,重量单位,体积单位,存货分类,单位编码,是否生效,生效日期,失效日期
502半成品罐小料片,502半成品罐小料片,D15-068-1010,800克菁爱婴儿配方奶粉罐（新风格B1）-01小料片,398.8×175.5,片,A0681010F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0,0,0,17.98,140.48,0.000015748,克,立方米,销售,PIAN,√,2019.02.18,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-068-1010,800克菁爱婴儿配方奶粉罐（新风格B1）-01大料铁,T4CA-0.25×802（W）×904  2.8/2.8  R2,张,A0681010F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0.25,904,802,17.98,"1,422.83",0.000167121,克,立方米,销售,ZHANG,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-1010,800克菁爱婴儿配方奶粉罐（新风格B1）-01,502×175.5,罐,A0681010F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0,0,0,1.798042,156,0.0000222,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
马口铁,马口铁,Y20-025-007,马口铁,T4CA-0.25×802(W)×904 2.8/2.8 R2,张,,,,,0,0.25,802,904,,"1,422.83",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
马口铁,马口铁,Y20-025-015,马口铁,T4CA-0.25×803(W)×904 2.8/2.8 R2,张,,,,,0,0.25,803,904,,"1,424.60",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T94-516-0001,合生元可贝思亲呵350克拼版大料片,T4CA-0.21×943(W)×911 2.8/2.8  R2,张,,312.4×129.3,,,0,0.21,911,943,,"1,347.78",0.000171692,克,立方米,销售,ZHANG,√,2019.01.01,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-516-0025,合生元可贝思亲呵350克较大婴儿配方羊奶粉 （6-12月龄，2段）小料片,401*129.3,片,A516025F,312.4×129.3,白瓷,四色+专色,0,0.21,312.4,129.3,,84.32,0.000008482,克,立方米,销售,PIAN,√,2023.05.11,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-516-0060,合生元可贝思亲呵350克婴儿配方羊奶粉 （0-6月龄，1段）小料片,401*129.3,片,A516060F,312.4×129.3,白瓷,四色+专色,0,0.21,312.4,129.3,,84.32,0.000008482,克,立方米,销售,PIAN,√,2023.05.11,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-516-0026,合生元可贝思亲呵350克幼儿配方羊奶粉 （12-36月龄，3段）小料片,401*129.3,片,A516026F,312.4×129.3,白瓷,四色+专色,0,0.21,312.4,129.3,,84.32,0.000008482,克,立方米,销售,PIAN,√,2023.05.11,9999.12.31
401胶盖,401胶盖,P54-000-0267,401#蓝色平盖,401#,pcs,,,,,,0,0,0,,20,0.000274831,克,立方米,通用,pcs,√,2025.02.01,9999.12.31
401底盖,401底盖,P34-501-0001,401#单光印蓝底盖（印蓝直径62mm）双面赋码底盖（亚泽好健康专用）,401,pcs,,312.4,,,115.6,0,0,0,,0,0.000035357,克,立方米,销售,pcs,√,2018.01.01,9899.01.01
