主分类代码,分类名称,料号,品名,规格,单位名称,菲林编号,开料尺寸,印刷工艺,分色信息,落料直径,材料厚度,材料宽度,材料高度,边角料重量,库存单位重量,库存单位体积,重量单位,体积单位,存货分类,单位编码,是否生效,生效日期,失效日期
502成品罐,502成品罐,C05-068-1008,700克菁爱较大婴儿配方奶粉罐（新风格B1）-01,502×165,罐,A0681008F,398.8×169,白墨+橘皮油,四色+三专色,0,0,0,0,15.17,132.27,0.000000025,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-068-1009,700克菁爱幼儿配方奶粉罐（新风格B1）-01,502×165,罐,A0681009F,398.8×169,白墨+橘皮油,四色+三专色,0,0,0,0,15.17,132.27,0.000000025,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-068-1002,820克菁爱较大婴儿配方奶粉罐（新风格B1）-02,502×175.5,罐,A0681002F,398.8×179.5,白墨+橘皮油,四色+三专色,0,0,0,0,1.798042,156,0.0000222,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-1003,820克菁爱幼儿配方奶粉罐（新风格B1）-02,502×175.5,罐,A0681003F,398.8×179.5,白墨+橘皮油,四色+三专色,0,0,0,0,17.98,156,0.0000222,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-1004,680克菁爱婴儿配方奶粉罐（新风格B1）-01,502×165,罐,A0681004F,398.8×169,白墨+珠光60%白,四色+三专色,0,0,0,0,15.17,132.27,0.000000025,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-068-1005,680克菁爱较大婴儿配方奶粉罐（新风格B1）-01,502×165,罐,A0681005F,398.8×169,白墨+珠光60%白,四色+三专色,0,0,0,0,15.17,132.27,0.000000025,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-068-1001,820克菁爱婴儿配方奶粉罐（新风格B1）-02,502×175.5,罐,A0681001F,398.8×179.5,白墨+橘皮油,四色+三专色,0,0,0,0,1.798042,156,0.0000222,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T94-516-0002,合生元派星天呵350g 1、2、3段配方拼版大料(打样),T4CA  0.21×943×911,张,,312.4×129.3,,,0,0.21,911,943,,"1,416.18",0.000180405,克,立方米,销售,ZHANG,√,2026.04.01,9999.12.31
异型罐身涂印铁大料,异型罐身涂印铁大料,T19-516-0003,合生元派星天呵350g幼儿配方奶粉（12-36月龄，3段）打大料,T4CA  0.23×943×911,张,A516035F,312.4×129.3,白瓷,,0,0.28,0,0,,0,0,克,立方米,销售,ZHANG,√,2026.04.10,9999.12.31
异型罐身涂印铁大料,异型罐身涂印铁大料,T19-516-0002,合生元派星天呵350g较大婴儿配方奶粉（6-12月龄，2段）打样大料,T4CA  0.23×943×911,张,A516034F,312.4×129.3,白瓷,,0,0.28,0,0,,0,0,克,立方米,销售,ZHANG,√,2026.04.10,9999.12.31
